"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"79744678022479874","","","2011-06-12 02:59:47 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Younger Brother - Bedtime Story","","","",""
"79742658372845569","","","2011-06-12 02:51:45 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Fox Amoore - Rain","","","",""
"79740459743838208","","","2011-06-12 02:43:01 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: RPO, David Weed - The Darkest Symphony (Original Part 1 Mix)","","","",""
"79738914520305664","","","2011-06-12 02:36:53 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Massive Attack - Angel","","","",""
"79737987130331136","","","2011-06-12 02:33:12 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - Stephan Bodzin - Luka Leon","","","",""
"79732928418037760","","","2011-06-12 02:13:06 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Tykwer/Klimek/Heil - Introduction","","","",""
"79727380922503168","","","2011-06-12 01:51:03 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Kevin MacLeod - Faster Does It","","","",""
"79725420836159488","","","2011-06-12 01:43:16 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Gui Boratto - Tales From The Lab (Part 2)","","","",""
"79716051088195585","","","2011-06-12 01:06:02 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: The Chemical Brothers - Escape Velocity","","","",""
"79715394486669312","","","2011-06-12 01:03:25 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Pogo - Crimson","","","",""
"79707172262514688","","","2011-06-12 00:30:45 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Tykwer/Klimek/Heil - Supermarket","","","",""
"79704447470678016","","","2011-06-12 00:19:55 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Mark Knight & Funkagenda - Man With The Red Face Original Club Mix","","","",""
"79702083330256896","","","2011-06-12 00:10:32 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 02. bt - ride","","","",""
"79698167762919425","","","2011-06-11 23:54:58 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: The Knack - The_Knack_-_My_Sharona","","","",""
"79696714591772672","","","2011-06-11 23:49:12 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: The Honeydrippers - rockin at Midnight","","","",""
"79695355725348864","","","2011-06-11 23:43:48 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Aaren San - Apes From Space - Dirtyloud Remix","","","",""
"79693602535645186","","","2011-06-11 23:36:50 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: FKN Feat. Jahala - Why (Aly & Fila Remix)","","","",""
"79692708695916544","","","2011-06-11 23:33:17 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Royksopp - Remind Me","","","",""
"79690700370874368","","","2011-06-11 23:25:18 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: RPO, David Weed - The Darkest Symphony (Original Part 1 Mix)","","","",""
"79689654332432384","","","2011-06-11 23:21:08 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Digitalism - Idealistic (Original Mix)","","","",""
"79689466888986624","","","2011-06-11 23:20:24 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Kevin MacLeod - Tafi Maradi no voice","","","",""
"79413324818825216","","","2011-06-11 05:03:06 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 10min Focus-Binaural brain wave entrainment","","","",""
"79412022382571520","","","2011-06-11 04:57:56 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Aperture Science Psychoacoustics Laboratory - Technical Difficulties","","","",""
"79410571589599232","","","2011-06-11 04:52:10 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Michael Jackson - Thriller","","","",""
"79409608795500544","","","2011-06-11 04:48:20 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Deuter - East Of The Full Moon","","","",""
"79407157686181888","","","2011-06-11 04:38:36 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Textural Being - Cobalt","","","",""
"79407078376087553","","","2011-06-11 04:38:17 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Textural Being - I Felt...","","","",""
"79406534672650240","","","2011-06-11 04:36:07 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN: Trentemoller - Liquid Dreams","","","",""
"79404387444850688","","","2011-06-11 04:27:35 +0000","<a href=""http://en.www.ali.dj/traktor-scrobbler/"" rel=""nofollow"">TraktorScrobbler</a>","Now playing on XBN:  - 01 - Neelix Feat. Shereen Shabana - You & I Belong (Progressive Mix)","","","",""
